Rm,Sm,Rn,Sn,RS_Gr,RS_Gn,chi2_pvalue,diff_entropy,lsb_diff_entropy,median_prefix_p,chi2_stat,label,photo_id,variant,method,p,density,changed_frac
23575,16958,18667,14258,0.1009674072265625,0.0672760009765625,1.6042369398179343e-13,4.667561698885992,0.9999994712396142,1.856696914666557e-07,281.3037646038227,1,1,v3,nsF5,2,0.85,0.2150
23166,17250,18550,14446,0.09027099609375,0.0626220703125,0.0003091099698833401,4.668898673552839,0.9999997468218379,0.050972499562941684,190.01776821017853,1,1,v4,matrix,3,0.5,0.0627
22134,18166,17712,14983,0.060546875,0.0416412353515625,0.004681833330110689,4.6712231012982395,0.999999781481693,0.010816629009859451,173.39993295966994,1,1,v5,matrix,2,0.8,0.1993
32486,7510,28213,9097,0.381103515625,0.29168701171875,1.7645181174536884e-98,3.432678829440348,0.9965372038437015,2.827566256026943e-72,804.0534149713183,0,2,clean,,,,
32007,7725,27755,9213,0.370513916015625,0.282928466796875,3.8269714051133498e-90,3.4404741383513655,0.9974104981740797,1.0983499423513229e-70,758.3049570598295,1,2,v0,nsF5,3,0.25,0.0320
31458,7931,27251,9425,0.3589935302734375,0.272003173828125,1.5457344239367563e-80,3.4480592253011735,0.9982762543633708,8.880561774896332e-64,704.8937338507217,1,2,v1,nsF5,3,0.55,0.0705
31251,8184,27088,9482,0.3519744873046875,0.268646240234375,5.454718190226268e-88,3.4517987016873355,0.9983530566020931,6.187453052211334e-67,746.3979562912782,1,2,v2,nsF5,2,0.35,0.0889
30207,8847,25808,9976,0.325927734375,0.2415771484375,9.123055222881972e-82,3.466442401170083,0.9996743216785575,8.474690609792682e-63,711.7730053444384,1,2,v3,nsF5,2,0.85,0.2154
29503,8654,25649,10076,0.3181304931640625,0.2376251220703125,1.6986106860817323e-66,3.447970673800816,0.9981449161401617,8.00577700265753e-53,625.1644456004581,1,2,v4,matrix,3,0.5,0.0630
24434,11376,21460,12194,0.199249267578125,0.141387939453125,5.9206467646245894e-27,3.478579085258646,0.9995489453491438,7.287745575551689e-21,381.0234532748654,1,2,v5,matrix,2,0.8,0.1999
28655,15750,22583,12840,0.1969146728515625,0.1486663818359375,0.0,4.269985903739872,0.9957548374208782,3.658389374815484e-26,18627.34101712842,0,3,clean,,,,
28106,15738,21991,12871,0.188720703125,0.13916015625,0.0,4.271429795416953,0.9966506287904023,1.3620946035267472e-23,16505.153082992238,1,3,v0,nsF5,3,0.25,0.0316
27498,15842,21400,12931,0.1778564453125,0.1292266845703125,0.0,4.272587046316743,0.9976998575869864,8.02132359834377e-20,13903.8256131099,1,3,v1,nsF5,3,0.55,0.0696
27109,16051,20994,13100,0.168731689453125,0.120452880859375,0.0,4.272917859594385,0.9982380143128068,6.416266108994819e-20,12409.802961247973,1,3,v2,nsF5,2,0.35,0.0889
25867,16491,19636,13555,0.14306640625,0.0927886962890625,0.0,4.271568440872502,0.9996124568215483,5.305692826846939e-18,5674.554614060003,1,3,v3,nsF5,2,0.85,0.2154
27030,16174,21127,13160,0.1656494140625,0.1215667724609375,0.0,4.272706643858623,0.997553950581429,3.8194720262555244e-18,14357.012673430372,1,3,v4,matrix,3,0.5,0.0628
24125,17684,18563,14422,0.0982818603515625,0.0631866455078125,0.0,4.274581825995386,0.9995076326232877,5.804366180707651e-11,6219.287717425655,1,3,v5,matrix,2,0.8,0.2015
27730,15793,22420,13263,0.1821441650390625,0.1397247314453125,0.0,4.228277818093781,0.996277752479537,3.063395885117806e-08,18562.14682064518,0,4,clean,,,,
